date,card_number,business_or_person_original,category_original,debit,credit,business_or_person,category,sequence
2022-12-08,5457,kindle svcs*kp65k2q53,entertainment,22.49,,kindle svcs*kpkq,learning,1
2022-12-29,5739,billa dankt,merchandise,72.94,,billa dankt,groceries,1
2022-12-28,5739,schuhbecks e4 sat,dining,10.46,,schuhbecks e sat,dining,1
2022-12-28,5739,lenbachs e4 sat,dining,3.09,,lenbachs e sat,dining,1
2022-12-27,5739,tst* barsecco,dining,177.35,,tst* barsecco,dining,1
2022-12-26,5739,tea room,dining,48.2,,tea room,dining,1
2022-12-26,5739,deezfruta inc,dining,12.14,,deezfruta inc,dining,1
2022-12-26,5739,deezfruta inc,dining,7.6,,deezfruta inc,dining,1
2022-12-25,5739,lyft   1 ride 12-24,other travel,31.98,,lyft    ride -,car/bike/metro,1
2022-12-23,5739,mpa parking pay by pho,gas/automotive,6.5,,mpa parking pay by pho,car/bike/metro,1
2022-12-23,5739,mpa parking pay by pho,gas/automotive,3.25,,mpa parking pay by pho,car/bike/metro,1
2022-12-23,5739,tst* manta aqp,dining,88.6,,tst* manta aqp,dining,1
2022-12-23,5739,sq *suite habana cafe,dining,12.3,,sq *suite habana cafe,dining,1
2022-12-23,5739,sq *cerveceria la trop,merchandise,49.92,,sq *cerveceria la trop,dining,1
2022-12-23,5739,sq *madruga bakery,dining,32.96,,sq *madruga bakery,dining,1
2022-12-22,5739,navarro discount pharm,health care,31.5,,navarro discount pharm,groceries,1
2022-12-11,5739,coral gables g6 parkin,gas/automotive,4.0,,coral gables g parkin,car/bike/metro,1
2022-12-10,5739,cke*threefold cafe mia,dining,25.25,,cke*threefold cafe mia,dining,1
2022-12-10,5739,tst* vegan cuban cuisi,dining,30.26,,tst* vegan cuban cuisi,dining,1
2022-12-07,5739,tamiami park,other services,3.0,,tamiami park,exercise,1
2022-12-08,5739,kindle svcs*vc6l234b3,entertainment,19.99,,kindle svcs*vclb,learning,1
2022-12-08,5739,kindle svcs*ua63f56u3,entertainment,37.99,,kindle svcs*uafu,learning,1
2022-12-06,5739,cycle world,merchandise,107.0,,cycle world,exercise,1
2022-12-05,5739,publix supermarkets #1,merchandise,87.31,,publix supermarkets ,groceries,1
2022-12-05,5739,laz parking 560443,gas/automotive,4.0,,laz parking ,car/bike/metro,1
2022-12-05,5739,deezfruta inc,dining,7.36,,deezfruta inc,dining,1
2022-12-05,5739,tst* cvi.che 105 - dad,dining,25.54,,tst* cvi.che  - dad,dining,1
2022-12-06,5739,apple.com/us,merchandise,1184.49,,apple.com/us,merchandise,1
2022-12-05,5739,sq *panther coffee,dining,12.92,,sq *panther coffee,dining,1
2022-12-04,5739,parkjockey miami llc.,gas/automotive,6.0,,parkjockey miami llc.,car/bike/metro,1
2022-12-03,5739,sq *mia market miami,dining,38.23,,sq *mia market miami,dining,1
2022-12-03,5739,sq *hot lime,dining,22.67,,sq *hot lime,dining,1
2022-12-03,5739,sq *coop,dining,35.37,,sq *coop,dining,1
2022-12-02,5739,say tea & smile,dining,8.92,,say tea & smile,dining,1
2022-12-03,5739,coral gables g2 parkin,gas/automotive,6.0,,coral gables g parkin,car/bike/metro,1
2022-12-01,5739,tamiami park,other services,3.0,,tamiami park,exercise,1
2022-11-29,5739,el rey de las fritas,dining,19.97,,el rey de las fritas,dining,1
2022-11-29,5739,tst* tacos & tattoos f,dining,17.7,,tst* tacos & tattoos f,dining,1
2022-11-28,5739,tamiami park,other services,3.0,,tamiami park,exercise,1
2022-11-26,5739,publix #550,merchandise,133.37,,publix ,groceries,1
2022-11-23,5739,publix #550,merchandise,35.21,,publix ,groceries,1
2022-11-22,5739,macondo coffee roaster,dining,23.75,,macondo coffee roaster,dining,1
2022-11-22,5739,glf*miccosukeegolf,entertainment,4.0,,glf*miccosukeegolf,entertainment,1
2022-11-21,5739,barnes & noble #2792,merchandise,55.63,,barnes & noble ,merchandise,1
2022-11-20,5739,shake shack 1111,dining,15.55,,shake shack ,dining,1
2022-11-20,5739,exxonmobil    99137812,gas/automotive,40.82,,exxonmobil    ,car/bike/metro,1
2022-11-18,5739,macondo coffee roaster,dining,22.52,,macondo coffee roaster,dining,1
2022-11-20,5739,ls mack cycle and fitn,merchandise,32.08,,ls mack cycle and fitn,exercise,1
